Titre,Lien,Note,Genre,Genre numerique
ichigo-mashimaro-ova,https://voiranime.com/anime/ichigo-mashimaro-ova/,3.3,Comedy&Slice of Life,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
id-invaded,https://voiranime.com/anime/id-invaded/,3.9,Sci-Fi,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
idhun-s1-vf,https://voiranime.com/anime/idhun-s1-vf/,3.6,Action&Fantasy&Supernatural,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
idol-memories,https://voiranime.com/anime/idol-memories/,2.6,Music,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
idol-time-pripara,https://voiranime.com/anime/idol-time-pripara/,3.3,Music,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
idolish7,https://voiranime.com/anime/idolish7/,3.6,Comedy&Drama&Music&Slice of Life,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
jahy-sama-wa-kujikenai,https://voiranime.com/anime/jahy-sama-wa-kujikenai/,4,Comedy&Ecchi&Slice of Life&Supernatural,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]"
jaku-chara-tomozaki-kun,https://voiranime.com/anime/jaku-chara-tomozaki-kun/,4.2,Comedy&Romance,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
jashin-chan-dropkick,https://voiranime.com/anime/jashin-chan-dropkick/,3.5,Comedy&Supernatural,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
jashin-chan-dropkick-2,https://voiranime.com/anime/jashin-chan-dropkick-2/,3.9,Comedy&Supernatural,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
jibaku-shounen-hanako-kun,https://voiranime.com/anime/jibaku-shounen-hanako-kun/,4.2,Comedy&Supernatural,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
jieyao,https://voiranime.com/anime/jieyao/,3.7,Chinese&Romance&Slice of Life,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0]"
jigoku-shoujo,https://voiranime.com/anime/jigoku-shoujo/,4.1,Drama&Horror&Supernatural,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
jigoku-shoujo-futakomori,https://voiranime.com/anime/jigoku-shoujo-futakomori/,3.6,Horror&Supernatural,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
jigoku-shoujo-mitsuganae,https://voiranime.com/anime/jigoku-shoujo-mitsuganae/,3.6,Horror&Supernatural,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
jigoku-shoujo-yoi-no-togi,https://voiranime.com/anime/jigoku-shoujo-yoi-no-togi/,4.1,Horror&Supernatural,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
jin-roh,https://voiranime.com/anime/jin-roh/,4.2,Action&Drama&Romance&Thriller,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
jin-roh-vf,https://voiranime.com/anime/jin-roh-vf/,3.9,Action&Drama&Romance&Thriller,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
jinkiextend,https://voiranime.com/anime/jinkiextend/,2.7,Mecha&Sci-Fi,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
jinrui-wa-suitai-shimashita,https://voiranime.com/anime/jinrui-wa-suitai-shimashita/,3.9,Comedy&Fantasy&Sci-Fi,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
jinrui-wa-suitai-shimashita-specials,https://voiranime.com/anime/jinrui-wa-suitai-shimashita-specials/,3.5,Fantasy,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
jinsei,https://voiranime.com/anime/jinsei/,4,Slice of Life,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
